"""CD_Resp"	cidade_cliente	transportador	"PEDIDO 1P/FULL"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115850806"""
"""1100"	GOIANIA	PORTA APO	"1116023223"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115881016"""
"""1100"	GOIANIA	PORTA APO	"1115992650"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116116541"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115862540"""
"""1100"	ANAPOLIS	PORTA APO	"1116111767"""
"""1100"	GOIANIA	PORTA APO	"1116089292"""
"""1100"	TRINDADE	PORTA APO	"1116007997"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115839363"""
"""1100"	ANAPOLIS	PORTA APO	"1115797904"""
"""1100"	GOIANIA	PORTA APO	"1115893409"""
"""1100"	GOIANIA	PORTA APO	"1116104495"""
"""1100"	TRINDADE	PORTA APO	"1115927415"""
"""1100"	GOIANIA	PORTA APO	"1116091733"""
"""1100"	ANAPOLIS	PORTA APO	"1115849240"""
"""1100"	GOIANIA	PORTA APO	"1115911964"""
"""1100"	GOIANIA	PORTA APO	"1115841307"""
"""1100"	GOIANIA	PORTA APO	"1115794077"""
"""1100"	GOIANIA	PORTA APO	"1116133041"""
"""1100"	GOIANIA	PORTA APO	"1116050841"""
"""1100"	GOIANIA	PORTA APO	"1115840475"""
"""1100"	GOIANIA	PORTA APO	"1115932121"""
"""1100"	GOIANIA	PORTA APO	"1115908339"""
"""1100"	TRINDADE	PORTA APO	"1116110620"""
"""1100"	GOIANIA	PORTA APO	"1116006184"""
"""1100"	GOIANIA	PORTA APO	"1116098727"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116076782"""
"""1100"	GOIANIA	PORTA APO	"1115974631"""
"""1100"	GOIANIA	PORTA APO	"1115967483"""
"""1100"	GOIANIA	PORTA APO	"1116110981"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116042403"""
"""1100"	GOIANIA	PORTA APO	"1116081506"""
"""1100"	GOIANIA	PORTA APO	"1115917101"""
"""1100"	GOIANIA	PORTA APO	"1116104777"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115835511"""
"""1100"	GOIANIA	PORTA APO	"1116132390"""
"""1100"	GOIANIA	PORTA APO	"1115932973"""
"""1100"	ANAPOLIS	PORTA APO	"1115919433"""
"""1100"	ANAPOLIS	PORTA APO	"1487470780409998-1"""
"""1100"	ANAPOLIS	PORTA APO	"1116002184"""
"""1100"	GOIANIA	PORTA APO	"1116010367"""
"""1100"	GOIANIA	PORTA APO	"1116116950"""
"""1100"	GOIANIA	PORTA APO	"1116114009"""
"""1100"	ANAPOLIS	PORTA APO	"1115845288"""
"""1100"	GOIANIA	PORTA APO	"1116018651"""
"""1100"	ANAPOLIS	PORTA APO	"1116075739"""
"""1100"	GOIANIA	PORTA APO	"1116102144"""
"""1100"	GOIANIA	PORTA APO	"1116094927"""
"""1100"	GOIANIA	PORTA APO	"1116123715"""
"""1100"	GOIANIA	PORTA APO	"1116118937"""
"""1100"	GOIANIA	PORTA APO	"1116012909"""
"""1100"	GOIANIA	PORTA APO	"1115870877"""
"""1100"	ANAPOLIS	PORTA APO	"1115916220"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115878158"""
"""1100"	GOIANIA	PORTA APO	"1116118525"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115927532"""
"""1100"	GOIANIA	PORTA APO	"1115934857"""
"""1100"	GOIANIA	PORTA APO	"1115855777"""
"""1100"	GOIANIA	PORTA APO	"1116008610"""
"""1100"	FORMOSA	PORTA APO	"1110615429"""
"""1100"	GOIANIA	PORTA APO	"1116118571"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116101418"""
"""1100"	GOIANIA	PORTA APO	"1116120415"""
"""1100"	GOIANIA	PORTA APO	"1115909779"""
"""1100"	GOIANIA	PORTA APO	"1116085736"""
"""1100"	GOIANIA	PORTA APO	"1116352652"""
"""1100"	GOIANIA	PORTA APO	"1116127934"""
"""1100"	GOIANIA	PORTA APO	"1115969284"""
"""1100"	TRINDADE	PORTA APO	"1116099016"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115994335"""
"""1100"	GOIANIA	PORTA APO	"1115964576"""
"""1100"	TRINDADE	PORTA APO	"1115878129"""
"""1100"	GOIANIA	PORTA APO	"1116118383"""
"""1100"	GOIANIA	PORTA APO	"1116094842"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115978240"""
"""1100"	ANAPOLIS	PORTA APO	"1115890848"""
"""1100"	GOIANIA	PORTA APO	"1116124223"""
"""1100"	GOIANIA	PORTA APO	"1115838550"""
"""1100"	GOIANIA	PORTA APO	"1116073977"""
"""1100"	ANAPOLIS	PORTA APO	"1116001648"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115910812"""
"""1100"	GOIANAPOLIS	PORTA APO	"1114497656"""
"""1100"	ANAPOLIS	PORTA APO	"1115993660"""
"""1100"	ANAPOLIS	PORTA APO	"1115968409"""
"""1100"	ANAPOLIS	PORTA APO	"1115849724"""
"""1100"	TRINDADE	PORTA APO	"1115957325"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116086230"""
"""1100"	PIRENOPOLIS	PORTA APO	"1114220639"""
